VMName,IP,SNM,GW
EO-test-template-iholoviy-WindowsVista86,192.168.93.60,255.255.224.0,192.168.64.3
EO-test-template-iholoviy-windows2012,192.168.93.61,255.255.224.0,192.168.64.3
EO-test-template-iholoviy-Windows8.1x86,192.168.93.62,255.255.224.0,192.168.64.3
EO-test-template-iholoviy-windows2012R2,192.168.93.63,255.255.224.0,192.168.64.3
EO-test-template-iholoviy-Windows8x86,192.168.93.64,255.255.224.0,192.168.64.3
EO-test-template-iholoviy-windows7x86,192.168.93.65,255.255.224.0,192.168.64.3
EO-test-template-iholoviy-Windows8x64,192.168.93.66,255.255.224.0,192.168.64.3
EO-test-template-2012R2_comp_iholoviy,192.168.93.67,255.255.224.0,192.168.64.3
EO-test-template-iholoviy-windows7x64,192.168.93.68,255.255.224.0,192.168.64.3
EO-test-template-iholoviy-WindowsVista64,192.168.93.69,255.255.224.0,192.168.64.3
EO-test-template-iholoviy-windows2008x64,192.168.93.70,255.255.224.0,192.168.64.3
